temperature,humidity,ph,ec,label,ec_source,source_dataset
19.7,69.46,6.71,0.386,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
20.74,70.91,6.6,0.705,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
20.71,73.29,6.85,0.652,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
16.07,83.12,6.02,0.455,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
21.92,76.97,6.25,1.155,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
23.81,76.1,6.54,0.277,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
17.07,75.29,6.9,0.297,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
20.04,78.24,6.04,1.131,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
23.71,74.81,6.19,0.834,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
21.64,67.95,5.98,0.206,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
22.25,77.77,6.08,1.498,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
20.42,82.13,6.33,0.343,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
16.78,72.2,5.99,0.672,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
24.87,73.39,6.42,0.667,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
15.27,69.73,6.56,0.382,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
17.64,81.48,6.39,1.127,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
18.16,78.17,6.08,0.611,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
19.35,76.62,6.14,0.844,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
16.83,81.3,6.56,0.788,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
21.04,71.96,6.33,0.492,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
25.44,84.35,6.96,0.7,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
21.3,71.37,6.91,1.478,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
18.29,79.96,6.16,0.713,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
24.21,80.57,7.16,0.71,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
19.15,79.55,6.01,1.529,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
17.02,76.38,6.55,0.756,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
24.64,76.8,6.54,0.236,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
16.08,81.44,6.33,1.085,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
15.54,83.11,6.63,0.503,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
16.38,79.94,5.91,1.205,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
17.35,80.75,6.63,1.28,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
20.8,81.81,6.1,1.355,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
23.96,83.41,6.33,1.478,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
21.23,80.03,6.86,1.341,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
22.36,69.86,6.82,0.488,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
23.51,72.8,6.52,0.805,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
17.76,69.29,6.21,0.355,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
21.07,70.46,6.84,1.132,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
17.63,77.99,6.99,0.668,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
19.3,71.33,6.58,1.342,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
22.22,76.91,6.54,0.241,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
17.44,72.28,6.87,1.006,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
18.26,73.97,6.45,1.109,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
17.17,78.73,6.67,0.371,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
16.74,81.73,6.82,0.394,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
15.9,68.57,6.25,0.322,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
20.3,84.58,6.07,0.671,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
24.02,72.42,6.72,1.222,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
19.69,77.32,6.33,0.481,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
20.79,78.76,6.48,0.916,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
20.68,77.2,6.96,0.429,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
19.56,72.47,6.7,1.425,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
17.45,78.63,6.82,0.545,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
22.71,75.93,5.91,0.977,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
20.57,77.07,6.67,0.771,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
16.4,72.28,6.94,0.578,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
17.3,72.44,6.09,0.446,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
16.09,83.83,6.02,1.38,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
17.21,76.95,6.86,0.684,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
23.58,82.81,6.15,1.048,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
23.36,68.02,6.56,0.802,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
20.05,70.42,6.95,0.945,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
20.27,82.41,6.76,1.049,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
17.91,86.35,5.99,0.585,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
20.98,80.68,6.72,0.653,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
16.4,68.89,6.67,1.084,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
20.76,82.76,6.25,0.273,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
16.89,78.3,6.41,0.399,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
22.87,82.11,6.0,0.312,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
21.93,84.09,6.76,1.375,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
20.6,84.76,6.57,0.818,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
19.0,80.2,6.06,0.44,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
24.12,70.43,6.99,0.397,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
22.92,85.04,6.05,0.966,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
22.79,73.11,6.8,1.41,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
16.35,85.4,6.05,1.147,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
15.54,82.14,6.73,1.415,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
17.6,80.79,6.29,1.047,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
24.07,80.36,6.81,1.158,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
16.28,86.07,6.03,1.19,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
17.89,73.47,6.2,0.336,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
23.23,78.4,6.2,0.435,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
23.01,74.53,6.25,1.087,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
22.79,87.19,6.34,0.389,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
24.11,83.73,6.78,0.216,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
22.73,78.55,6.64,0.818,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
22.86,76.34,6.66,0.284,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
19.88,76.89,6.54,0.548,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
18.2,78.45,6.84,0.724,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
23.32,77.34,6.72,0.653,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
20.01,82.55,6.52,0.61,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
18.52,77.27,7.01,0.361,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
23.74,70.34,6.13,0.968,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
20.56,79.33,6.51,1.167,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
21.54,74.67,6.61,0.391,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
15.23,80.64,6.76,0.647,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
21.4,75.92,6.29,1.385,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
23.97,76.07,6.05,0.544,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
19.82,81.8,6.1,0.796,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
22.32,74.27,7.16,0.897,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
18.69,81.41,6.77,0.801,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
22.9,76.97,6.91,1.305,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
24.13,79.19,6.49,0.674,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
23.92,78.29,6.74,0.498,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
23.19,80.93,6.52,0.281,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
21.76,70.36,6.32,0.251,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
18.88,72.83,6.2,1.255,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
15.33,86.78,6.22,0.602,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
21.65,80.97,6.41,0.722,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
19.59,78.55,6.62,1.443,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
19.67,84.64,6.74,0.317,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
16.08,76.91,6.89,1.329,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
22.17,76.83,6.02,1.373,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
25.39,83.3,6.94,1.362,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
16.89,74.26,6.62,1.494,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
24.58,74.17,6.46,1.2,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
20.3,74.1,6.49,1.434,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
15.74,73.07,6.81,1.062,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
16.35,80.41,6.39,0.567,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
24.66,71.25,6.79,0.887,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
14.79,73.37,6.43,0.378,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
20.9,76.92,6.15,0.819,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
23.28,77.65,6.07,0.341,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
23.02,87.69,6.28,0.917,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
18.92,85.16,6.75,0.476,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
14.69,74.36,6.28,0.597,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
18.37,73.99,6.74,0.458,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
24.76,70.82,6.21,0.341,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
21.3,83.33,6.68,1.166,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
18.43,73.06,6.51,0.136,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
22.71,77.25,6.88,0.971,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
20.92,76.55,6.5,1.516,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
19.74,75.86,6.5,0.994,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
23.99,71.25,6.67,0.447,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
20.52,74.77,6.05,1.479,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
20.48,71.72,6.66,0.535,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
23.58,81.43,6.73,0.454,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
21.03,74.38,6.28,0.396,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
17.78,78.78,6.37,0.866,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
16.4,72.68,6.81,0.953,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
16.5,82.8,6.17,1.532,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
18.53,71.95,6.38,1.375,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
17.15,73.13,6.15,1.151,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
22.33,81.05,6.19,0.563,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
15.03,82.47,6.76,1.189,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
19.61,84.05,6.42,0.624,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
23.54,87.54,6.21,1.205,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
16.14,71.78,6.63,1.242,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
17.17,70.28,6.97,1.105,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
21.61,78.67,6.23,1.431,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
20.73,86.12,6.34,0.653,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
22.49,72.53,6.23,1.353,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
25.18,73.92,6.85,0.886,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
22.36,83.15,6.21,0.98,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
18.6,77.67,6.98,0.844,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
20.03,86.59,6.35,0.584,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
18.64,83.56,6.66,0.427,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
17.73,83.32,6.14,0.607,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
20.89,81.56,6.47,0.5,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
14.64,76.02,6.89,1.189,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
14.97,78.52,6.55,0.692,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
22.89,73.99,6.64,0.308,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
16.49,76.84,6.44,0.385,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
20.89,79.09,6.93,0.888,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
23.88,73.95,6.79,1.095,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
17.52,77.57,6.58,0.714,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
20.89,76.52,6.7,1.002,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
16.2,80.79,6.5,1.535,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
16.21,79.88,6.34,0.731,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
21.25,83.53,6.68,1.479,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
22.46,75.29,5.99,0.684,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
21.17,77.42,6.86,0.303,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
14.68,79.34,6.2,1.208,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
21.35,82.88,6.37,0.875,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
18.06,85.69,6.03,0.281,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
24.12,73.98,6.34,0.973,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
22.54,75.07,6.51,1.228,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
19.66,78.35,6.12,0.336,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
17.69,72.15,6.21,0.557,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
25.02,78.44,6.39,1.435,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
20.13,77.8,6.7,1.105,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
23.32,81.75,6.33,0.532,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
22.53,77.61,6.77,1.344,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
16.95,75.51,6.14,0.48,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
16.68,74.53,6.11,0.536,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
17.41,70.97,6.92,0.521,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
17.72,76.68,6.88,1.061,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
21.78,71.06,6.63,0.749,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
22.59,76.12,6.68,0.637,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
15.56,69.95,6.28,1.539,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
20.2,74.12,7.04,0.664,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
23.93,82.66,6.75,0.92,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
25.69,75.14,6.39,0.327,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
23.4,77.69,6.73,1.18,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
18.86,85.42,6.56,0.293,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
23.92,76.73,6.1,1.016,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
20.07,69.49,6.48,0.766,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
17.12,81.98,6.63,1.064,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
23.41,76.23,6.33,0.418,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
18.53,74.11,6.61,1.006,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
23.9,83.91,6.54,0.75,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
18.25,71.3,5.97,0.728,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
22.05,73.78,6.98,0.254,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
24.16,75.22,6.54,1.062,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
20.62,78.9,6.44,1.015,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
24.65,77.02,6.35,1.135,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
20.19,71.08,6.59,1.124,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
24.6,79.3,6.67,1.162,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
20.83,75.2,6.5,1.325,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
20.86,77.47,6.12,0.592,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
19.39,77.58,6.19,0.989,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
20.24,77.81,6.1,1.163,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
17.77,72.42,6.37,0.264,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
24.7,78.16,6.88,0.971,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
19.61,85.46,6.26,0.709,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
19.02,77.91,6.09,1.279,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
17.85,74.74,6.02,0.87,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
19.61,73.22,6.46,0.691,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
17.04,80.15,6.72,1.409,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
16.11,82.45,6.27,0.51,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
17.13,73.87,7.02,0.859,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
18.65,85.83,6.76,0.572,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
20.41,82.15,6.63,0.972,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
23.47,76.03,6.16,1.349,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
26.14,82.61,6.67,1.09,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
22.13,77.6,6.54,0.978,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
21.8,79.17,6.79,1.55,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
20.4,76.43,6.41,1.265,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
17.35,76.65,6.57,0.949,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
21.48,72.78,6.55,1.321,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
23.73,86.09,6.3,0.616,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
21.18,69.0,6.14,1.369,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
24.85,81.57,6.71,1.134,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
20.8,85.19,6.84,0.229,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
16.84,73.63,6.3,0.67,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
15.03,78.67,6.44,0.306,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
20.98,78.34,5.92,0.652,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
16.65,74.63,6.86,1.011,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
16.37,86.6,6.47,0.852,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
25.4,74.56,6.13,1.295,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
20.54,72.88,6.19,0.769,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
21.9,78.29,6.6,0.564,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
22.14,71.28,6.06,1.185,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
22.13,79.59,6.8,0.49,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
18.49,82.08,6.65,0.935,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
17.19,75.03,6.46,0.491,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
20.29,75.29,7.07,1.025,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
22.91,74.08,6.19,0.73,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
26.12,77.13,6.45,1.383,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
19.34,71.28,6.25,0.188,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
21.94,79.25,6.88,1.499,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
18.56,78.59,6.67,1.544,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
24.66,86.06,6.16,0.875,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
19.82,82.65,6.68,0.873,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
20.59,80.41,6.36,0.233,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
23.65,72.36,6.56,0.261,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
16.44,71.64,6.54,1.038,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
22.31,72.21,6.66,0.567,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
16.25,79.49,6.58,0.56,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
19.82,77.46,6.75,0.995,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
18.67,77.24,6.54,1.115,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
16.07,76.4,6.46,0.311,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
20.6,75.52,6.43,0.919,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
22.39,72.65,6.91,1.3,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
20.39,78.24,6.51,0.81,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
22.95,85.01,6.54,0.88,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
18.17,80.32,6.82,0.327,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
22.06,76.65,6.51,1.217,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
16.47,84.68,6.84,1.026,Oignon,synthetic_catalog,ml_model.rules.crop_catalog
17.73,78.06,5.88,0.774,Carotte,synthetic_catalog,ml_model.rules.crop_catalog
21.49,75.27,6.36,0.667,Carotte,synthetic_catalog,ml_model.rules.crop_catalog
15.08,71.56,5.55,0.803,Carotte,synthetic_catalog,ml_model.rules.crop_catalog
16.73,79.54,5.76,0.32,Carotte,synthetic_catalog,ml_model.rules.crop_catalog
17.4,78.44,6.49,0.526,Carotte,synthetic_catalog,ml_model.rules.crop_catalog
16.59,75.31,5.6,0.742,Carotte,synthetic_catalog,ml_model.rules.crop_catalog
16.1,76.14,6.38,0.527,Carotte,synthetic_catalog,ml_model.rules.crop_catalog
18.81,72.48,5.02,1.264,Carotte,synthetic_catalog,ml_model.rules.crop_catalog
18.34,77.23,5.44,0.699,Carotte,synthetic_catalog,ml_model.rules.crop_catalog
21.76,73.26,5.21,1.028,Carotte,synthetic_catalog,ml_model.rules.crop_catalog
16.31,77.87,5.81,0.346,Carotte,synthetic_catalog,ml_model.rules.crop_catalog
18.57,73.71,6.35,0.38,Carotte,synthetic_catalog,ml_model.rules.crop_catalog
18.88,68.09,5.36,0.298,Carotte,synthetic_catalog,ml_model.rules.crop_catalog
20.69,72.15,6.51,0.732,Carotte,synthetic_catalog,ml_model.rules.crop_catalog
17.1,75.65,6.48,0.863,Carotte,synthetic_catalog,ml_model.rules.crop_catalog
21.2,69.6,6.08,0.409,Carotte,synthetic_catalog,ml_model.rules.crop_catalog
18.0,69.17,5.24,0.986,Carotte,synthetic_catalog,ml_model.rules.crop_catalog
22.29,74.99,6.21,0.907,Carotte,synthetic_catalog,ml_model.rules.crop_catalog
14.82,69.46,5.25,1.175,Carotte,synthetic_catalog,ml_model.rules.crop_catalog
19.66,71.33,6.01,0.478,Carotte,synthetic_catalog,ml_model.rules.crop_catalog
18.47,80.48,6.05,0.293,Carotte,synthetic_catalog,ml_model.rules.crop_catalog
19.3,69.49,6.43,0.456,Carotte,synthetic_catalog,ml_model.rules.crop_catalog
21.7,73.88,5.46,0.618,Carotte,synthetic_catalog,ml_model.rules.crop_catalog
18.58,73.76,5.76,0.921,Carotte,synthetic_catalog,ml_model.rules.crop_catalog
20.44,69.32,4.89,1.212,Carotte,synthetic_catalog,ml_model.rules.crop_catalog
15.53,80.7,5.77,0.223,Carotte,synthetic_catalog,ml_model.rules.crop_catalog
19.99,73.88,6.01,1.115,Carotte,synthetic_catalog,ml_model.rules.crop_catalog
20.2,74.55,6.14,0.912,Carotte,synthetic_catalog,ml_model.rules.crop_catalog
21.29,72.87,5.45,0.284,Carotte,synthetic_catalog,ml_model.rules.crop_catalog
17.15,77.82,5.11,0.259,Carotte,synthetic_catalog,ml_model.rules.crop_catalog
15.82,79.41,6.24,0.385,Carotte,synthetic_catalog,ml_model.rules.crop_catalog
17.4,81.1,5.43,0.353,Carotte,synthetic_catalog,ml_model.rules.crop_catalog
15.11,77.64,5.38,1.168,Carotte,synthetic_catalog,ml_model.rules.crop_catalog
16.55,77.48,5.29,0.619,Carotte,synthetic_catalog,ml_model.rules.crop_catalog
20.55,75.47,6.45,1.166,Carotte,synthetic_catalog,ml_model.rules.crop_catalog
17.44,79.6,5.07,0.568,Carotte,synthetic_catalog,ml_model.rules.crop_catalog
16.85,75.58,5.34,0.745,Carotte,synthetic_catalog,ml_model.rules.crop_catalog
17.38,77.05,5.94,0.426,Carotte,synthetic_catalog,ml_model.rules.crop_catalog
18.57,77.34,5.71,0.996,Carotte,synthetic_catalog,ml_model.rules.crop_catalog
20.33,73.63,6.04,0.841,Carotte,synthetic_catalog,ml_model.rules.crop_catalog
18.66,75.64,6.15,0.345,Carotte,synthetic_catalog,ml_model.rules.crop_catalog
